activity_id,split_index,distance_km,duration_sec,pace_sec_per_km,avg_hr,max_hr,avg_power,elevation_gain_m
05072026,1,1.0,311.6,311.6,124.0,141.0,381.0,14.0
05072026,2,1.0,305.8,305.8,137.0,142.0,379.0,8.0
05072026,3,1.0,309.6,309.6,135.0,147.0,372.0,5.0
05072026,4,1.0,313.5,313.5,139.0,151.0,376.0,16.0
05072026,5,1.0,304.6,304.6,146.0,152.0,369.0,12.0
05072026,6,1.0,300.5,300.5,141.0,147.0,387.0,0.0
05072026,7,1.0,297.2,297.2,141.0,154.0,390.0,3.0
05072026,8,1.0,307.3,307.3,141.0,144.0,373.0,1.0
05072026,9,1.0,313.1,313.1,142.0,148.0,379.0,9.0
05072026,10,0.41,136.9,333.9,138.0,147.0,355.0,1.0
05072026,11,0.02,19.9,995.0,122.0,129.0,99.0,0.0
05072026,12,0.1,20.6,206.0,121.0,136.0,454.0,5.0
05072026,13,0.13,78.5,603.8,133.0,158.0,189.0,1.0
05072026,14,0.1,19.4,194.0,104.0,116.0,380.0,4.0
05072026,15,0.14,82.0,585.7,109.0,121.0,158.0,0.0
05072026,16,0.11,18.9,171.8,101.0,110.0,455.0,2.0
05072026,17,0.13,76.8,590.8,119.0,128.0,189.0,0.0
05072026,18,0.1,18.6,186.0,124.0,132.0,315.0,2.0
05072026,19,0.14,78.7,562.1,129.0,142.0,177.0,1.0
05072026,20,0.1,18.0,180.0,107.0,115.0,449.0,2.0
05072026,21,0.14,79.9,570.7,134.0,146.0,180.0,2.0
05072026,22,0.09,16.3,181.1,134.0,140.0,496.0,2.0
05072026,23,0.07,35.2,502.9,143.0,146.0,272.0,2.0
17062026,1,1.0,214.8,215.0,173.0,182.0,507.0,6.0
17062026,2,1.0,219.3,219.0,177.0,183.0,495.0,6.0
17062026,3,1.0,225.7,226.0,178.0,180.0,492.0,1.0
17062026,4,1.0,231.6,232.0,178.0,181.0,470.0,0.0
17062026,5,1.0,223.1,223.0,179.0,182.0,492.0,0.0
17062026,6,0.08,14.2,179.0,181.0,182.0,509.0,0.0
29062026,1,1.0,301.3,301.0,133.0,144.0,388.0,14.0
29062026,2,0.16,51.5,324.0,142.0,144.0,391.0,2.0
29062026,3,0.4,140.7,348.0,133.0,141.0,325.0,1.0
29062026,4,0.28,158.5,574.0,109.0,135.0,146.0,0.0
29062026,5,0.4,88.9,222.0,133.0,161.0,475.0,1.0
29062026,6,0.19,74.7,396.0,142.0,161.0,346.0,0.0
29062026,7,0.4,87.3,218.0,155.0,166.0,497.0,2.0
29062026,8,0.19,69.7,375.0,147.0,166.0,310.0,0.0
29062026,9,0.4,87.9,220.0,157.0,167.0,486.0,0.0
29062026,10,0.18,71.2,390.0,148.0,168.0,299.0,0.0
29062026,11,0.4,87.7,219.0,159.0,169.0,488.0,0.0
29062026,12,0.19,72.4,390.0,150.0,168.0,319.0,0.0
29062026,13,0.4,84.8,212.0,160.0,170.0,491.0,0.0
29062026,14,0.19,74.1,399.0,149.0,170.0,290.0,0.0
29062026,15,0.4,84.4,211.0,162.0,172.0,499.0,0.0
29062026,16,0.2,79.5,404.0,148.0,171.0,272.0,0.0
29062026,17,0.4,83.0,208.0,163.0,173.0,503.0,0.0
29062026,18,0.2,81.3,405.0,152.0,173.0,288.0,0.0
29062026,19,0.4,76.7,192.0,167.0,179.0,505.0,1.0
29062026,20,0.4,234.2,585.0,116.0,179.0,145.0,1.0
29062026,21,1.0,331.3,331.0,135.0,147.0,347.0,6.0
29062026,22,0.41,127.5,309.0,141.0,150.0,351.0,3.0
